"concept_id","current_domain_id","current_module_id","current_label_zh","current_semantic_kind","current_primary_parent_relation_id","current_depth","current_root_status","lexical_family","definition_family","decision","target_domain_id","target_module_id","proposed_label_zh","proposed_semantic_kind","proposed_primary_parent_relation_id","proposed_backbone_relation_id","convert_to_field_of","convert_to_allowed_value_of","merge_into_id","split_into_ids","required_relation_changes","owner_rationale","source_ids","positive_example_id","boundary_example_id","domain_reviewer","ontology_reviewer","language_reviewer","review_status"
"DataZoneReference","info-plane","info-storage-sources","数据区引用","information","","0","unreviewed-v2-root","数据区引用","information","keep","info-plane","info-storage-sources","数据区引用","information","","belongs_to_data_zone","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","DataZoneReference-example-positive-001","DataZoneReference-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"FileResourceReference","info-plane","info-storage-sources","文件资源引用","information","FileResourceReference-is_a-SourceReference","1","","文资源引用","information","keep","info-plane","info-storage-sources","文件资源引用","information","FileResourceReference-is_a-SourceReference","FileResourceReference-is_a-SourceReference","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","FileResourceReference-example-positive-001","FileResourceReference-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"GraphNodeReference","info-plane","info-storage-sources","图节点引用","information","GraphNodeReference-is_a-SourceReference","1","","图节点引用","information","keep","info-plane","info-storage-sources","图节点引用","information","GraphNodeReference-is_a-SourceReference","GraphNodeReference-is_a-SourceReference","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","GraphNodeReference-example-positive-001","GraphNodeReference-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"NetworkSourceReference","info-plane","info-storage-sources","网络来源引用","information","NetworkSourceReference-is_a-SourceReference","1","","网络来源引用","information","keep","info-plane","info-storage-sources","网络来源引用","information","NetworkSourceReference-is_a-SourceReference","NetworkSourceReference-is_a-SourceReference","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","NetworkSourceReference-example-positive-001","NetworkSourceReference-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ResourceDescriptor","info-plane","info-storage-sources","资源描述符","information","","0","unreviewed-v2-root","资源描述符","information","keep","info-plane","info-storage-sources","资源描述符","information","","SourceReference-described_by-ResourceDescriptor","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","ResourceDescriptor-example-positive-001","ResourceDescriptor-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SourceAnchor","info-plane","info-storage-sources","来源锚","information","","0","unreviewed-v2-root","来源锚","information","keep","info-plane","info-storage-sources","来源锚","information","","","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","SourceAnchor-example-positive-001","SourceAnchor-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SourceCellRange","info-plane","info-storage-sources","来源单元格范围","information","SourceCellRange-is_a-SourceLocation","1","","来源单元格围","information","keep","info-plane","info-storage-sources","来源单元格范围","information","SourceCellRange-is_a-SourceLocation","SourceCellRange-is_a-SourceLocation","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","SourceCellRange-example-positive-001","SourceCellRange-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SourceChecksum","info-plane","info-storage-sources","来源校验和","information","SourceChecksum-is_a-ContentDigest","2","","来源校验和","information","keep","info-plane","info-storage-sources","来源校验和","information","SourceChecksum-is_a-ContentDigest","SourceChecksum-is_a-ContentDigest","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","SourceChecksum-example-positive-001","SourceChecksum-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SourceIdentity","info-plane","info-storage-sources","来源身份信息","information","","0","unreviewed-v2-root","来源身份信息","information","keep","info-plane","info-storage-sources","来源身份信息","information","","SourceReference-has_identity-SourceIdentity","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-ont-prov-o|eng-proto-mcp-spec","SourceIdentity-example-positive-001","SourceIdentity-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SourceLineRange","info-plane","info-storage-sources","来源行范围","information","SourceLineRange-is_a-SourceLocation","1","","来源行围","information","keep","info-plane","info-storage-sources","来源行范围","information","SourceLineRange-is_a-SourceLocation","SourceLineRange-is_a-SourceLocation","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","SourceLineRange-example-positive-001","SourceLineRange-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SourceLocation","info-plane","info-storage-sources","来源位置","information","","0","unreviewed-v2-root","来源位置","information","keep","info-plane","info-storage-sources","来源位置","information","","SourceReference-located_at-SourceLocation","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","SourceLocation-example-positive-001","SourceLocation-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SourceOffset","info-plane","info-storage-sources","来源偏移","information","SourceOffset-is_a-SourceLocation","1","","来源偏移","information","keep","info-plane","info-storage-sources","来源偏移","information","SourceOffset-is_a-SourceLocation","SourceOffset-is_a-SourceLocation","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","SourceOffset-example-positive-001","SourceOffset-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SourcePageRange","info-plane","info-storage-sources","来源页范围","information","SourcePageRange-is_a-SourceLocation","1","","来源页围","information","keep","info-plane","info-storage-sources","来源页范围","information","SourcePageRange-is_a-SourceLocation","SourcePageRange-is_a-SourceLocation","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","SourcePageRange-example-positive-001","SourcePageRange-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SourceProvenance","info-plane","info-storage-sources","来源来历","information","","0","unreviewed-v2-root","来源来历","information","keep","info-plane","info-storage-sources","来源来历","information","","SourceReference-has_provenance-SourceProvenance","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","SourceProvenance-example-positive-001","SourceProvenance-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SourceReference","info-plane","info-storage-sources","来源引用","information","","0","unreviewed-v2-root","来源引用","information","keep","info-plane","info-storage-sources","来源引用","information","","","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","SourceReference-example-positive-001","SourceReference-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SourceSpan","info-plane","info-storage-sources","来源片段","information","SourceSpan-is_a-SourceLocation","1","","来源片段","information","keep","info-plane","info-storage-sources","来源片段","information","SourceSpan-is_a-SourceLocation","SourceSpan-is_a-SourceLocation","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","SourceSpan-example-positive-001","SourceSpan-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SourceVersion","info-plane","info-storage-sources","来源版本","information","SourceVersion-is_a-SourceIdentity","1","","来源版本","information","keep","info-plane","info-storage-sources","来源版本","information","SourceVersion-is_a-SourceIdentity","SourceVersion-is_a-SourceIdentity","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","SourceVersion-example-positive-001","SourceVersion-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"TextDocumentReference","info-plane","info-storage-sources","文本文档引用","information","TextDocumentReference-is_a-SourceReference","1","","文本文档引用","information","keep","info-plane","info-storage-sources","文本文档引用","information","TextDocumentReference-is_a-SourceReference","TextDocumentReference-is_a-SourceReference","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","TextDocumentReference-example-positive-001","TextDocumentReference-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"TrustBoundaryReference","info-plane","info-storage-sources","信任边界引用","information","","0","unreviewed-v2-root","信任边界引用","information","keep","info-plane","info-storage-sources","信任边界引用","information","","","","","","","reviewed without relation replacement","来源与定位按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","TrustBoundaryReference-example-positive-001","TrustBoundaryReference-example-boundary-001","moonweave-info-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"Chunk","memory-plane","memory-chunking-situating","分块","information","Chunk-is_a-ChunkArtifact","1","","分块","information","keep","memory-plane","memory-chunking-situating","分块","information","Chunk-is_a-ChunkArtifact","Chunk-is_a-ChunkArtifact","","","","","reviewed without relation replacement","分块与语境化按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langchain-agents|lit-mech-compass","Chunk-example-positive-001","Chunk-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ChunkArtifact","memory-plane","memory-chunking-situating","分块信息制品","information","","0","unreviewed-v2-root","分块产物","information","keep","memory-plane","memory-chunking-situating","分块产物","information","","","","","","","reviewed without relation replacement","分块与语境化按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-llamaindex-agents|lit-agent-agemem","ChunkArtifact-example-positive-001","ChunkArtifact-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ChunkBoundary","memory-plane","memory-chunking-situating","分块边界","information","ChunkBoundary-is_a-ChunkMetadata","1","","分块边界","information","convert_to_field","memory-plane","memory-chunking-situating","分块边界","information","","","ChunkMetadata","","ChunkMetadata","","deprecated references migrate to ChunkMetadata","分块与语境化按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-fw-langchain-agents","","","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ChunkCompression","memory-plane","memory-chunking-situating","分块压缩活动","activity","ChunkCompression-is_a-ChunkProcessingActivity","1","","分块压缩","activity","keep","memory-plane","memory-chunking-situating","分块压缩活动","activity","ChunkCompression-is_a-ChunkProcessingActivity","ChunkCompression-is_a-ChunkProcessingActivity","","","","","reviewed without relation replacement","分块与语境化按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-fw-langchain-agents","ChunkCompression-example-positive-001","ChunkCompression-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ChunkContextNote","memory-plane","memory-chunking-situating","分块上下文注记","information","ChunkContextNote-is_a-ChunkMetadata","1","","分块上下文注","information","convert_to_field","memory-plane","memory-chunking-situating","分块上下文注记","information","","","ChunkMetadata","","ChunkMetadata","","deprecated references migrate to ChunkMetadata","分块与语境化按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-fw-langchain-agents","","","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ChunkingRun","memory-plane","memory-chunking-situating","分块运行","activity","ChunkingRun-is_a-ChunkProcessingActivity","1","","分块运行","activity","keep","memory-plane","memory-chunking-situating","分块运行","activity","ChunkingRun-is_a-ChunkProcessingActivity","ChunkingRun-is_a-ChunkProcessingActivity","","","","","reviewed without relation replacement","分块与语境化按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langchain-agents|lit-mech-compass","ChunkingRun-example-positive-001","ChunkingRun-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ChunkMetadata","memory-plane","memory-chunking-situating","分块元数据","information","","0","unreviewed-v2-root","分块元数据","information","keep","memory-plane","memory-chunking-situating","分块元数据","information","","Chunk-has_metadata-ChunkMetadata","","","","","reviewed without relation replacement","分块与语境化按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-llamaindex-agents|lit-agent-memoryagentbench","ChunkMetadata-example-positive-001","ChunkMetadata-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ChunkOverlap","memory-plane","memory-chunking-situating","分块重叠","information","ChunkOverlap-is_a-ChunkMetadata","1","","分块重叠","information","convert_to_field","memory-plane","memory-chunking-situating","分块重叠","information","","","ChunkMetadata","","ChunkMetadata","","deprecated references migrate to ChunkMetadata","分块与语境化按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-fw-langchain-agents","","","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ChunkProcessingActivity","memory-plane","memory-chunking-situating","分块处理活动","activity","","0","unreviewed-v2-root","分块处理","activity","keep","memory-plane","memory-chunking-situating","分块处理活动","activity","","","","","","","reviewed without relation replacement","分块与语境化按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-llamaindex-workflows|lit-agent-agemem","ChunkProcessingActivity-example-positive-001","ChunkProcessingActivity-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ChunkProvenance","memory-plane","memory-chunking-situating","分块来源记录","information","ChunkProvenance-is_a-ChunkMetadata","1","","分块来源","information","keep","memory-plane","memory-chunking-situating","分块来源记录","information","ChunkProvenance-is_a-ChunkMetadata","ChunkProvenance-is_a-ChunkMetadata","","","","","reviewed without relation replacement","分块与语境化按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-fw-langchain-agents","ChunkProvenance-example-positive-001","ChunkProvenance-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ChunkQualitySignal","memory-plane","memory-chunking-situating","分块质量信号","information","ChunkQualitySignal-is_a-ChunkMetadata","1","","分块质量信号","information","convert_to_field","memory-plane","memory-chunking-situating","分块质量信号","information","","","ChunkMetadata","","ChunkMetadata","","deprecated references migrate to ChunkMetadata","分块与语境化按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-fw-langchain-agents","","","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ChunkReference","memory-plane","memory-chunking-situating","分块引用","information","ChunkReference-is_a-ChunkArtifact","1","","分块引用","information","reparent","memory-plane","memory-chunking-situating","分块引用","information","","Chunk-has_reference-ChunkReference","","","","","owner/backbone updated in source","分块与语境化按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-fw-langchain-agents","ChunkReference-example-positive-001","ChunkReference-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SituatedChunk","memory-plane","memory-chunking-situating","已定位分块","information","SituatedChunk-is_a-Chunk","2","","已定位分块","information","keep","memory-plane","memory-chunking-situating","已定位分块","information","SituatedChunk-is_a-Chunk","SituatedChunk-is_a-Chunk","","","","","reviewed without relation replacement","分块与语境化按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-fw-langchain-agents","SituatedChunk-example-positive-001","SituatedChunk-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SituatingPromptRun","memory-plane","memory-chunking-situating","分块定位提示运行","activity","SituatingPromptRun-is_a-ChunkProcessingActivity","1","","分块定位提示运行","activity","keep","memory-plane","memory-chunking-situating","分块定位提示运行","activity","SituatingPromptRun-is_a-ChunkProcessingActivity","SituatingPromptRun-is_a-ChunkProcessingActivity","","","","","reviewed without relation replacement","分块与语境化按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|lit-mech-compass","SituatingPromptRun-example-positive-001","SituatingPromptRun-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ContextArtifact","memory-plane","memory-context","上下文信息制品","information","","0","unreviewed-v2-root","上下文产物","information","keep","memory-plane","memory-context","上下文产物","information","","","","","","","reviewed without relation replacement","上下文组装按 identity、semantic kind 和主问题唯一拥有该概念。","lit-agent-agemem|lit-mech-compass","ContextArtifact-example-positive-001","ContextArtifact-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ContextAssembly","memory-plane","memory-context","上下文组装","activity","","0","unreviewed-v2-root","上下文组装","activity","keep","memory-plane","memory-context","上下文组装","activity","","","","","","","reviewed without relation replacement","上下文组装按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|lit-mech-compass","ContextAssembly-example-positive-001","ContextAssembly-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ContextBudget","memory-plane","memory-context","上下文预算","specification","ContextBudget-is_a-ContextRule","1","","上下文预算","specification","keep","memory-plane","memory-context","上下文预算","specification","ContextBudget-is_a-ContextRule","ContextBudget-is_a-ContextRule","","","","","reviewed without relation replacement","上下文组装按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|lit-agent-memory-as-action","ContextBudget-example-positive-001","ContextBudget-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ContextExclusion","memory-plane","memory-context","上下文排除决定","information","","0","unreviewed-v2-root","上下文排除决定","information","keep","memory-plane","memory-context","上下文排除决定","information","","ContextAssembly-records-ContextExclusion","","","","","reviewed without relation replacement","上下文组装按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|lit-agent-memory-as-action","ContextExclusion-example-positive-001","ContextExclusion-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ContextOrderingActivity","","","","","","","","上下文排序","activity","add","memory-plane","memory-context","上下文排序活动","activity","","ContextAssembly-has_phase-ContextOrderingActivity","","","","","new reviewed concept; no v2 record to migrate","上下文组装按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|lit-agent-memory-as-action","ContextOrderingActivity-example-positive-001","ContextOrderingActivity-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ContextOrderingRule","memory-plane","memory-context","上下文排序规则","specification","ContextOrderingRule-is_a-ContextRule","1","","上下文排序","specification","keep","memory-plane","memory-context","上下文排序规则","specification","ContextOrderingRule-is_a-ContextRule","ContextOrderingRule-is_a-ContextRule","","","","","reviewed without relation replacement","上下文组装按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|lit-agent-memory-as-action","ContextOrderingRule-example-positive-001","ContextOrderingRule-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ContextPackage","info-plane","info-messages-instructions","上下文包","information","","0","unreviewed-v2-root","上下文包","information","move_owner","memory-plane","memory-context","上下文包","information","","ContextAssembly-produces-ContextPackage","","","","","owner/backbone updated in source","上下文组装按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","ContextPackage-example-positive-001","ContextPackage-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ContextRefreshEvent","memory-plane","memory-context","上下文刷新事件","event","","0","unreviewed-v2-root","上下文刷新","event","keep","memory-plane","memory-context","上下文刷新事件","event","","ContextRefreshEvent-triggers-ContextAssembly","","","","","reviewed without relation replacement","上下文组装按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|lit-agent-memory-as-action","ContextRefreshEvent-example-positive-001","ContextRefreshEvent-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ContextRule","memory-plane","memory-context","上下文规则","specification","","0","unreviewed-v2-root","上下文","specification","keep","memory-plane","memory-context","上下文规则","specification","","ContextAssembly-applies-ContextRule","","","","","reviewed without relation replacement","上下文组装按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langgraph-docs|lit-mech-compass","ContextRule-example-positive-001","ContextRule-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ContextSelectionActivity","","","","","","","","上下文选择","activity","add","memory-plane","memory-context","上下文选择活动","activity","","ContextAssembly-has_phase-ContextSelectionActivity","","","","","new reviewed concept; no v2 record to migrate","上下文组装按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|lit-agent-memory-as-action","ContextSelectionActivity-example-positive-001","ContextSelectionActivity-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ContextSlot","memory-plane","memory-context","上下文槽位","information","ContextSlot-is_a-ContextArtifact","1","","上下文槽位","information","reparent","memory-plane","memory-context","上下文槽位","information","","ContextWindow-has_slot-ContextSlot","","","","","owner/backbone updated in source","上下文组装按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|lit-agent-memory-as-action","ContextSlot-example-positive-001","ContextSlot-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ContextSource","memory-plane","memory-context","上下文来源描述","information","ContextSource-is_a-ContextArtifact","1","","上下文来源描述","information","reparent","memory-plane","memory-context","上下文来源描述","information","ContextSource-is_a-SourceReference","ContextSlot-sourced_from-ContextSource","","","","","owner/backbone updated in source","上下文组装按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|lit-agent-memory-as-action","ContextSource-example-positive-001","ContextSource-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ContextSummary","memory-plane","memory-context","上下文摘要","information","ContextSummary-is_a-ContextArtifact","1","","上下文摘要","information","keep","memory-plane","memory-context","上下文摘要","information","ContextSummary-is_a-ContextArtifact","ContextSummary-is_a-ContextArtifact","","","","","reviewed without relation replacement","上下文组装按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|lit-agent-memory-as-action","ContextSummary-example-positive-001","ContextSummary-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ContextTrimmingActivity","","","","","","","","上下文裁剪","activity","add","memory-plane","memory-context","上下文裁剪活动","activity","","ContextAssembly-has_phase-ContextTrimmingActivity","","","","","new reviewed concept; no v2 record to migrate","上下文组装按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|lit-agent-memory-as-action","ContextTrimmingActivity-example-positive-001","ContextTrimmingActivity-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ContextWindow","memory-plane","memory-context","上下文窗口","information","ContextWindow-is_a-ContextArtifact","1","","上下文窗口","information","keep","memory-plane","memory-context","上下文窗口","information","ContextWindow-is_a-ContextArtifact","ContextWindow-is_a-ContextArtifact","","","","","reviewed without relation replacement","上下文组装按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|lit-mech-compass","ContextWindow-example-positive-001","ContextWindow-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"VisibleContextWindow","info-plane","info-output-disclosure","可见上下文窗口","specification","VisibleContextWindow-is_a-OutputWindow","2","","可见上下文窗口","information","move_owner","memory-plane","memory-context","可见上下文窗口","information","","has_visible_window","","","","","owner/backbone updated in source","上下文组装按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","VisibleContextWindow-example-positive-001","VisibleContextWindow-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"DenseVector","memory-plane","memory-embedding-indexes","稠密向量","information","DenseVector-is_a-VectorRepresentation","2","","稠密向量","information","keep","memory-plane","memory-embedding-indexes","稠密向量","information","DenseVector-is_a-VectorRepresentation","DenseVector-is_a-VectorRepresentation","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langchain-agents|lit-agent-magma","DenseVector-example-positive-001","DenseVector-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"Embedding","memory-plane","memory-embedding-indexes","嵌入表示","information","Embedding-is_a-Representation","1","","嵌入表示","information","keep","memory-plane","memory-embedding-indexes","嵌入表示","information","Embedding-is_a-Representation","Embedding-is_a-Representation","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langchain-agents|lit-mech-compass","Embedding-example-positive-001","Embedding-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
