"semantic_key","cq_id","primary_owner_module_id","related_module_ids","question_zh","reviewer","review_status"
"safety-injection-defense.instruction-conflict","safety-injection-defense-cq-instruction-conflict-v3","safety-injection-defense","info-prompts-instructions","哪些指令构成安全冲突，冲突涉及的权威、来源和潜在越权目标是什么？","moonweave-ontology-structure-reviewer","accepted"
"safety-injection-defense.mitigation-verification","safety-injection-defense-cq-mitigation-verification-v3","safety-injection-defense","memory-context","隔离、降权或拒绝缓解后，威胁内容是否仍能进入上下文或影响高权威指令？","moonweave-ontology-structure-reviewer","accepted"
"safety-network-control.route-authorization","safety-network-control-cq-route-authorization-v3","safety-network-control","safety-permission-policy","某个请求解析到哪些 IP 与端点，最终路由和代理是否均在允许范围内？","moonweave-ontology-structure-reviewer","accepted"
"safety-network-control.denied-call","safety-network-control-cq-denied-call-v3","safety-network-control","tool-invocation-execution","一次网络调用为何被拒绝，拒绝发生在解析、路由、代理、目的地还是响应阶段？","moonweave-ontology-structure-reviewer","accepted"
"safety-network-control.response-provenance","safety-network-control-cq-response-provenance-v3","safety-network-control","tool-mcp-transport","一个 InboundResponse 来自哪个经验证端点和 OutboundRequest，重定向链是否越过获准边界？","moonweave-ontology-structure-reviewer","accepted"
"safety-permission-policy.request-decision","safety-permission-policy-cq-request-decision-v3","safety-permission-policy","safety-trust-boundary","给定主体、资源、动作和上下文，哪些规则适用并产生允许、拒绝还是暂缓决定？","moonweave-ontology-structure-reviewer","accepted"
"safety-permission-policy.grant-validity","safety-permission-policy-cq-grant-validity-v3","safety-permission-policy","runtime-actors","某项 AuthorizationGrant 在指定时间、资源和动作上是否仍有效，是否已过期或撤销？","moonweave-ontology-structure-reviewer","accepted"
"safety-permission-policy.rule-conflict","safety-permission-policy-cq-rule-conflict-v3","safety-permission-policy","safety-commit-redaction","同时适用的允许与拒绝规则如何冲突消解，最终决定是否符合优先级和默认策略？","moonweave-ontology-structure-reviewer","accepted"
"safety-sandbox-network.resource-visibility","safety-sandbox-network-cq-resource-visibility-v3","safety-sandbox-network","runtime-system","指定 Sandbox 中的进程可以读取、写入或执行哪些路径和本地资源？","moonweave-ontology-structure-reviewer","accepted"
"safety-sandbox-network.mount-resolution","safety-sandbox-network-cq-mount-resolution-v3","safety-sandbox-network","safety-permission-policy","某个容器路径映射到哪个宿主路径，FilesystemPolicy 的挂载模式和授权是否允许当前操作？","moonweave-ontology-structure-reviewer","accepted"
"safety-sandbox-network.escape-risk","safety-sandbox-network-cq-escape-risk-v3","safety-sandbox-network","safety-network-control","哪些配置或运行证据表明存在文件系统、进程或命名空间逃逸风险，缓解措施是否生效？","moonweave-ontology-structure-reviewer","accepted"
"safety-trust-boundary.crossing-classification","safety-trust-boundary-cq-crossing-classification-v3","safety-trust-boundary","safety-permission-policy","一项数据或权限移动跨越了哪些信任边界，方向和源目标区域分别是什么？","moonweave-ontology-structure-reviewer","accepted"
"safety-trust-boundary.zone-membership","safety-trust-boundary-cq-zone-membership-v3","safety-trust-boundary","runtime-system","某个运行主体、资源或数据在指定时间属于哪个 DataZone，是否存在重叠或无归属？","moonweave-ontology-structure-reviewer","accepted"
"safety-trust-boundary.authority-scope","safety-trust-boundary-cq-authority-scope-v3","safety-trust-boundary","safety-permission-policy","一次跨界携带的 AuthorityScope 是否超出源主体获准范围或目标区域允许范围？","moonweave-ontology-structure-reviewer","accepted"
"tool-discovery-selection.candidate-generation","tool-discovery-selection-cq-candidate-generation-v3","tool-discovery-selection","tool-registry-definition","当前任务需求和约束从哪些注册能力中产生了哪些候选，是否漏掉兼容条目？","moonweave-ontology-structure-reviewer","accepted"
"tool-discovery-selection.selection-explanation","tool-discovery-selection-cq-selection-explanation-v3","tool-discovery-selection","orchestration-routing-control","被选工具相对其他候选在能力匹配、可用性、成本、延迟和风险上为何胜出？","moonweave-ontology-structure-reviewer","accepted"
"tool-discovery-selection.fallback-trigger","tool-discovery-selection-cq-fallback-trigger-v3","tool-discovery-selection","tool-invocation-execution","首选工具不可用或调用失败后，哪个条件触发哪个后备工具，是否需要重新授权？","moonweave-ontology-structure-reviewer","accepted"
"tool-invocation-execution.argument-validation","tool-invocation-execution-cq-argument-validation-v3","tool-invocation-execution","tool-registry-definition","一次 Invocation 的参数是否符合所选定义版本的 schema、必填项和约束？","moonweave-ontology-structure-reviewer","accepted"
"tool-invocation-execution.attempt-result","tool-invocation-execution-cq-attempt-result-v3","tool-invocation-execution","runtime-execution-attempts","某次 Invocation 有哪些 ToolCallAttempt，各自返回 ToolResult 还是 ToolError，最终 RunOutcome 如何对齐通用执行？","moonweave-ontology-structure-reviewer","accepted"
"tool-invocation-execution.effect-governance","tool-invocation-execution-cq-effect-governance-v3","tool-invocation-execution","safety-commit-redaction","一次工具调用声明或产生了哪些外部 Effect，哪些在提交门前只是预览？","moonweave-ontology-structure-reviewer","accepted"
"tool-mcp-transport.request-correlation","tool-mcp-transport-cq-request-correlation-v3","tool-mcp-transport","tool-invocation-execution","一个 MCPRequest 在哪个会话由谁发送，关联哪个 MCPResponse 或错误，是否存在重复或悬空 id？","moonweave-ontology-structure-reviewer","accepted"
"tool-mcp-transport.capability-negotiation","tool-mcp-transport-cq-capability-negotiation-v3","tool-mcp-transport","adapter-protocols","客户端与服务器在会话初始化时协商出哪些 MCP Capability，版本差异如何影响可用功能？","moonweave-ontology-structure-reviewer","accepted"
"tool-mcp-transport.subscription-lifecycle","tool-mcp-transport-cq-subscription-lifecycle-v3","tool-mcp-transport","safety-network-control","一个 MCPSubscription 何时建立、发送了哪些通知、何时取消或断连，是否有越界通知？","moonweave-ontology-structure-reviewer","accepted"
"tool-registry-definition.contract-resolution","tool-registry-definition-cq-contract-resolution-v3","tool-registry-definition","tool-invocation-execution","给定工具 id 和版本约束，应解析到哪份输入、输出和错误契约？","moonweave-ontology-structure-reviewer","accepted"
"tool-registry-definition.registry-availability","tool-registry-definition-cq-registry-availability-v3","tool-registry-definition","tool-discovery-selection","哪些注册条目在指定时间和环境中有效，提供方、端点与健康状态是什么？","moonweave-ontology-structure-reviewer","accepted"
"tool-registry-definition.capability-identity","tool-registry-definition-cq-capability-identity-v3","tool-registry-definition","runtime-actors","两个工具定义暴露相似名称时，是同一能力的不同实现、不同版本还是不同能力？","moonweave-ontology-structure-reviewer","accepted"
