concept_id,current_plane_id,current_module_id,current_kind,decision,proposed_kind,primary_parent_relation_id,additional_parent_relation_ids,target_plane_id,target_module_id,target_concept_id,convert_to_field_id,convert_to_allowed_value_of,merge_into_id,replaced_by_id,definition_action,example_action,source_action,required_new_relation_ids,rationale,reviewer,review_status
DiscoverySurface,info-plane,info-indexing,resource_type,keep_root,information,,,info-plane,info-indexing,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"发现界面描述查询可接触的搜索、文件列表或资源列表入口，是信息对象而非索引种类。 / DiscoverySurface describes a search, file-listing, or resource-list entry point available to a query; it is information, not a kind of index.",codex-info-ontology-reviewer,accepted
Document,memory-plane,memory-ingestion,resource_type,keep_reparent,information,Document-is_a-IngestibleResource,,memory-plane,memory-ingestion,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""Document-is_a-IngestibleResource""]","Document 是已加载且可解析、分块、索引与引用的 IngestibleResource。 / A Document is an IngestibleResource that has been loaded and can be parsed, chunked, indexed, and cited.",codex-memory-ontology-reviewer,accepted
DocumentLoader,memory-plane,memory-ingestion,resource_type,retype,capability,,,memory-plane,memory-ingestion,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],DocumentLoader 是在访问和信任控制下取得资源内容的能力；它与 IngestionPolicy 通过 uses 而非伪共同父类连接。 / DocumentLoader is the capability to obtain resource content under access and trust controls; it relates to IngestionPolicy through use rather than a false common parent.,codex-memory-ontology-reviewer,accepted
DocumentMetadata,memory-plane,memory-ingestion,resource_type,keep_root,information,,,memory-plane,memory-ingestion,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"DocumentMetadata 是带文档版本、摘要、作者、权限、信任区和解析状态的独立信息记录。 / DocumentMetadata is an information record bearing document version, digest, author, permission, trust zone, and parsing state.",codex-memory-ontology-reviewer,accepted
DomainSocket,safety-plane,safety-sandbox-network,resource_type,keep_reparent,entity,DomainSocket-is_a-Socket,,safety-plane,safety-sandbox-network,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""DomainSocket-is_a-Socket""]",域套接字是使用本地域地址族的 Socket；它不是代理或网络调用。 / A DomainSocket is a Socket distinguished by a local-domain address family; it is not a proxy or network call.,codex-safety-adapter-ontology-reviewer,accepted
DownstreamOperation,orchestration-plane,orchestration-routing-control,action_type,retype,information,,,orchestration-plane,orchestration-routing-control,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"下游操作是指向可继续执行的分支、工具、协议或停止路径的操作引用，不是一种路线或闸门。 / DownstreamOperation is reference information for an executable branch, tool, protocol, or stop path; it is not a Route or Gate subtype.",codex-runtime-orchestration-ontology-reviewer,accepted
DraftArtifact,runtime-plane,runtime-artifacts,resource_type,convert_to_controlled_value,,,,runtime-plane,runtime-artifacts,Artifact,,Artifact.status,,,migrate definition into reviewed target information,explain disposition in target field or Concept,convert legacy source IDs into direct reviewed source claims,[],"草稿只描述产物在审查前的状态；同一报告或模式可从 draft 转为 final，因此它不是稳定的本体子类。 / Draft describes an artifact's pre-review state; the same report or schema can move from draft to final, so it is not a stable ontological subtype.",codex-runtime-orchestration-ontology-reviewer,accepted
Embedding,memory-plane,memory-embedding-indexes,resource_type,keep_reparent,information,Embedding-is_a-Representation,,memory-plane,memory-embedding-indexes,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""Embedding-is_a-Representation""]","Embedding 是将内容编码为可比较特征的 Representation，不等同于生成它的运行。 / An Embedding is a Representation encoding content into comparable features, distinct from the run that creates it.",codex-memory-ontology-reviewer,accepted
EmbeddingModel,runtime-plane,runtime-actors,actor_type,retype,entity,EmbeddingModel-is_a-Model,,runtime-plane,runtime-actors,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""EmbeddingModel-is_a-Model""]",嵌入模型是以生成检索或匹配表示为区分能力的一种模型。 / An embedding model is a Model distinguished by producing representations for retrieval or matching.,codex-runtime-orchestration-ontology-reviewer,accepted
EmbeddingRun,memory-plane,memory-embedding-indexes,event_type,keep_reparent,activity,EmbeddingRun-is_a-IndexActivity,,memory-plane,memory-embedding-indexes,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""EmbeddingRun-is_a-IndexActivity""]",嵌入运行是用指定模型从来源内容生成表示的 IndexActivity。 / An EmbeddingRun is an IndexActivity using a stated model to generate representations from source content.,codex-memory-ontology-reviewer,accepted
EmbeddingVector,memory-plane,memory-embedding-indexes,index_type,keep_reparent,information,EmbeddingVector-is_a-VectorRepresentation,"[""EmbeddingVector-is_a-Embedding""]",memory-plane,memory-embedding-indexes,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""EmbeddingVector-is_a-VectorRepresentation"",""EmbeddingVector-is_a-Embedding""]",EmbeddingVector 同时是向量形态的 VectorRepresentation 和由嵌入编码得到的 Embedding；两条父关系均满足严格 is_a。 / An EmbeddingVector is both a vector-shaped VectorRepresentation and an Embedding produced by embedding encoding; both parents satisfy strict is_a.,codex-memory-ontology-reviewer,accepted
Encoding,info-plane,info-content-block-modality,resource_type,convert_to_field,,,,info-plane,info-content-block-modality,ContentBlock,encoding,,,,migrate definition into reviewed target information,explain disposition in target field or Concept,convert legacy source IDs into direct reviewed source claims,[],编码是 ContentBlock 的可重复标量结构属性；除非编码方案另有版本化定义，否则不具独立节点身份。 / Encoding is a repeatable scalar structural property of ContentBlock and lacks independent node identity unless a versioned encoding specification is modeled elsewhere.,codex-info-ontology-reviewer,accepted
EnvironmentBindingReference,info-plane,info-container-command,resource_type,keep_reparent,information,EnvironmentBindingReference-is_a-ExecutionReference,,info-plane,info-container-command,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""EnvironmentBindingReference-is_a-ExecutionReference""]",任一环境绑定引用都是指向执行上下文绑定的 ExecutionReference，且只披露引用而非秘密值。 / Every EnvironmentBindingReference is an ExecutionReference to an execution-context binding and exposes the reference rather than secret values.,codex-info-ontology-reviewer,accepted
EnvironmentVariable,runtime-plane,runtime-system,resource_type,convert_to_field,,,,runtime-plane,runtime-system,RuntimeEnvironment,environment_variables,,,,migrate definition into reviewed target information,explain disposition in target field or Concept,convert legacy source IDs into direct reviewed source claims,[],名称—值绑定是运行环境的可重复结构值，不具备独立业务身份；保留为节点会把 schema 字段误画成概念。 / A name-value binding is a repeatable structural value of RuntimeEnvironment without independent business identity; keeping it as a node would turn a schema field into a concept.,codex-runtime-orchestration-ontology-reviewer,accepted
EpisodicMemory,memory-plane,memory-stores-scopes,resource_type,convert_to_controlled_value,,,,memory-plane,memory-stores-scopes,MemoryRecord,,MemoryRecord.memory_kind,,,migrate definition into reviewed target information,explain disposition in target field or Concept,convert legacy source IDs into direct reviewed source claims,[],"情景描述记录内容种类，可同时是短期、长期或任务范围，故迁为 memory_kind 而非伪下位类。 / Episodic describes record content kind and may be short-term, long-term, or task-scoped, so it becomes memory_kind rather than a false subtype.",codex-memory-ontology-reviewer,accepted
ErrorEvent,feedback-plane,feedback-warning-error,event_type,keep_reparent,event,ErrorEvent-is_a-FailureEvent,,feedback-plane,feedback-warning-error,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ErrorEvent-is_a-FailureEvent""]","ErrorEvent 是记录实际失败、异常或超时的一种 FailureEvent。 / An ErrorEvent is a FailureEvent recording an actual failure, exception, or timeout.",codex-tool-feedback-ontology-reviewer,accepted
ErrorListener,feedback-plane,feedback-logging,object_type,keep_reparent,role,ErrorListener-is_a-LogConsumer,,feedback-plane,feedback-logging,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ErrorListener-is_a-LogConsumer""]",错误监听器是专门消费并路由错误事件的一种 LogConsumer。 / An error listener is a LogConsumer specialized to consume and route error events.,codex-tool-feedback-ontology-reviewer,accepted
ErrorStream,feedback-plane,feedback-warning-error,resource_type,keep_root,collection,,,feedback-plane,feedback-warning-error,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"错误流是按时间排列的事件和诊断集合，不是一种 ErrorEvent 或 DiagnosticSignal。 / An error stream is an ordered collection of events and diagnostics, not an ErrorEvent or DiagnosticSignal subtype.",codex-tool-feedback-ontology-reviewer,accepted
EscalationDecision,safety-plane,safety-permission-policy,event_type,keep_reparent,information,EscalationDecision-is_a-PolicyDecision,,safety-plane,safety-permission-policy,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""EscalationDecision-is_a-PolicyDecision""]",升级决定是把未决请求交由更高权限主体处理的 PolicyDecision，并非授权本身。 / An EscalationDecision is a PolicyDecision that routes an unresolved request to a higher-authority subject; it is not itself a grant.,codex-safety-adapter-ontology-reviewer,accepted
EvaluationCriterion,feedback-plane,feedback-metrics-evaluation,policy_type,keep_reparent,specification,EvaluationCriterion-is_a-EvaluationSpecification,,feedback-plane,feedback-metrics-evaluation,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""EvaluationCriterion-is_a-EvaluationSpecification""]",评估准则是在 EvaluationSpecification 上增加判断条件的一种规范。 / An evaluation criterion is an EvaluationSpecification specialized with an assessment condition.,codex-tool-feedback-ontology-reviewer,accepted
EvaluationRun,feedback-plane,feedback-metrics-evaluation,event_type,keep_root,activity,,,feedback-plane,feedback-metrics-evaluation,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"EvaluationRun 是应用场景、规则和指标的实际评估活动，不是规范、Metric 或 Measurement。 / EvaluationRun is the actual activity applying scenarios, rubrics, and metrics, not a specification, Metric, or Measurement.",codex-tool-feedback-ontology-reviewer,accepted
EvaluationScenario,feedback-plane,feedback-metrics-evaluation,resource_type,keep_reparent,specification,EvaluationScenario-is_a-EvaluationSpecification,,feedback-plane,feedback-metrics-evaluation,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""EvaluationScenario-is_a-EvaluationSpecification""]","评估场景是限定输入、环境和约束的一种 EvaluationSpecification。 / An evaluation scenario is an EvaluationSpecification defining inputs, environment, and constraints.",codex-tool-feedback-ontology-reviewer,accepted
EvaluatorOptimizer,orchestration-plane,orchestration-evaluation,actor_type,retype,role,,,orchestration-plane,orchestration-evaluation,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"评估优化者描述审核产物并选择修订、重试、升级或停止的职责，是角色而不是循环或主体固定子类。 / EvaluatorOptimizer denotes responsibility for reviewing output and choosing revision, retry, escalation, or stop; it is a role, not a loop or fixed actor subtype.",codex-runtime-orchestration-ontology-reviewer,accepted
EventSink,feedback-plane,feedback-logging,object_type,keep_reparent,role,EventSink-is_a-LogConsumer,,feedback-plane,feedback-logging,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""EventSink-is_a-LogConsumer""]","事件 Sink 是接收、存储或转发日志/遥测的一种 LogConsumer。 / An event sink is a LogConsumer that receives, stores, or forwards logs and telemetry.",codex-tool-feedback-ontology-reviewer,accepted
ExecutionRequest,tool-plane,tool-invocation-execution,event_type,keep_reparent,specification,ExecutionRequest-is_a-InvocationSpecification,,tool-plane,tool-invocation-execution,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ExecutionRequest-is_a-InvocationSpecification""]",执行请求是描述待运行操作和约束的一种 InvocationSpecification，尚不是发生的调用。 / An execution request is an InvocationSpecification for a proposed operation and is not yet an occurring call.,codex-tool-feedback-ontology-reviewer,accepted
ExecutionResult,tool-plane,tool-invocation-execution,resource_type,keep_reparent,information,ExecutionResult-is_a-InvocationResult,,tool-plane,tool-invocation-execution,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ExecutionResult-is_a-InvocationResult""]","执行结果是包含输出、状态或制品引用的一种 InvocationResult 记录。 / An execution result is an InvocationResult record containing output, status, or artifact references.",codex-tool-feedback-ontology-reviewer,accepted
ExecutionResultReference,info-plane,info-container-command,event_type,keep_reparent,information,ExecutionResultReference-is_a-ExecutionReference,,info-plane,info-container-command,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ExecutionResultReference-is_a-ExecutionReference""]",任一执行结果引用都是以某次运行或工具结果为指称对象的 ExecutionReference。 / Every ExecutionResultReference is an ExecutionReference whose referent is a runtime or tool result.,codex-info-ontology-reviewer,accepted
ExitStatusObservation,info-plane,info-container-command,resource_type,keep_reparent,information,ExitStatusObservation-is_a-ExecutionObservation,,info-plane,info-container-command,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ExitStatusObservation-is_a-ExecutionObservation""]","任一退出状态观测都是针对执行终止结果的 ExecutionObservation，并通过字段保存具体状态值。 / Every ExitStatusObservation is an ExecutionObservation of an execution's termination outcome, with the concrete status stored as a field.",codex-info-ontology-reviewer,accepted
ExperienceMemory,memory-plane,memory-stores-scopes,resource_type,convert_to_controlled_value,,,,memory-plane,memory-stores-scopes,MemoryRecord,,MemoryRecord.memory_kind,,,migrate definition into reviewed target information,explain disposition in target field or Concept,convert legacy source IDs into direct reviewed source claims,[],"经验是由轨迹、工具结果和纠错蒸馏的内容种类，与 duration/scope 正交，迁为 memory_kind。 / Experience is a content kind distilled from trajectories, tool outcomes, and corrections and is orthogonal to duration and scope, so it becomes memory_kind.",codex-memory-ontology-reviewer,accepted
ExportArtifact,runtime-plane,runtime-artifacts,resource_type,keep_reparent,information,ExportArtifact-is_a-Artifact,,runtime-plane,runtime-artifacts,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ExportArtifact-is_a-Artifact""]",导出产物是一种为外部交换生成并带格式与目标信息的 Artifact。 / An ExportArtifact is an Artifact distinguished by being generated for external exchange with format and destination metadata.,codex-runtime-orchestration-ontology-reviewer,accepted
ExternalAgentMessage,info-plane,info-messages-instructions,actor_type,retype,information,ExternalAgentMessage-is_a-Message,,info-plane,info-messages-instructions,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ExternalAgentMessage-is_a-Message""]","外部智能体消息是一种跨互操作或信任边界交换的 Message，不是 Actor；修正旧 actor_type 并纳入消息层级。 / ExternalAgentMessage is a Message exchanged across an interoperability or trust boundary, not an Actor; the legacy actor_type is corrected.",codex-info-ontology-reviewer,accepted
ExternalBoundary,safety-plane,safety-trust-boundary,object_type,keep_reparent,specification,ExternalBoundary-is_a-TrustBoundary,,safety-plane,safety-trust-boundary,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ExternalBoundary-is_a-TrustBoundary""]",任一外部边界都是把受控系统与外部主体或服务分开的信任边界，符合 genus 加区分特征。 / Every ExternalBoundary is a TrustBoundary distinguished by separating the controlled system from an external party or service.,codex-safety-adapter-ontology-reviewer,accepted
ExternalServiceActor,runtime-plane,runtime-actors,actor_type,keep_reparent,entity,ExternalServiceActor-is_a-SoftwareActor,,runtime-plane,runtime-actors,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ExternalServiceActor-is_a-SoftwareActor""]",外部服务参与者是位于受控系统边界之外并通过请求/响应参与运行的一种软件主体。 / An ExternalServiceActor is a SoftwareActor outside the controlled boundary that participates through requests and responses.,codex-runtime-orchestration-ontology-reviewer,accepted
FailureMode,feedback-plane,feedback-warning-error,resource_type,keep_root,state,,,feedback-plane,feedback-warning-error,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],FailureMode 保留为可复用失败分类根，通过 classified_by 连接具体 ErrorEvent。 / FailureMode remains the root for reusable failure classifications and connects to ErrorEvent through classified_by.,codex-tool-feedback-ontology-reviewer,accepted
Feedback,feedback-plane,feedback-review-optimization,resource_type,keep_root,information,,,feedback-plane,feedback-review-optimization,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],Feedback 保留为经解释、可驱动后续行动的信息根；它本身不自动执行修改。 / Feedback remains the root for interpreted information that can drive later action; it does not execute changes automatically.,codex-tool-feedback-ontology-reviewer,accepted
FeedbackEvent,orchestration-plane,orchestration-evaluation,event_type,move_owner,event,,,feedback-plane,feedback-review-optimization,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"它是跨任务、路由、审核和优化通用的反馈发生项，canonical 所有权应归 Feedback 域；编排模块通过 informs 关系引用。 / It is a generic feedback occurrence across tasks, routing, review, and optimization, so canonical ownership moves to the Feedback domain and orchestration references it through informs.",codex-runtime-orchestration-ontology-reviewer,accepted
FeedbackRouting,orchestration-plane,orchestration-evaluation,resource_type,keep_reparent,activity,FeedbackRouting-is_a-ReviewCoordination,,orchestration-plane,orchestration-evaluation,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""FeedbackRouting-is_a-ReviewCoordination""]","反馈路由是把适用反馈送往任务、角色、修订计划或闸门的一种审核协调活动。 / FeedbackRouting is a ReviewCoordination activity that sends applicable feedback to tasks, roles, revision plans, or gates.",codex-runtime-orchestration-ontology-reviewer,accepted
FewShotExample,info-plane,info-messages-instructions,resource_type,keep_root,information,,,info-plane,info-messages-instructions,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"少样本示例是具有示范输入输出、来源和适用范围的信息制品，可含多个块或消息，因而不强制继承单一 ContentBlock。 / A FewShotExample is an information artifact with demonstration input/output, provenance, and applicability; it may contain multiple blocks or messages and therefore is not forced under one ContentBlock.",codex-info-ontology-reviewer,accepted
FileAttachmentBlock,info-plane,info-content-block-modality,resource_type,keep_reparent,information,FileAttachmentBlock-is_a-ContentBlock,,info-plane,info-content-block-modality,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""FileAttachmentBlock-is_a-ContentBlock""]",任一文件附件块都是以文件引用或文件摘录为载荷的 ContentBlock。 / Every FileAttachmentBlock is a ContentBlock whose payload is a file reference or file excerpt.,codex-info-ontology-reviewer,accepted
FileResource,memory-plane,memory-ingestion,resource_type,keep_reparent,entity,FileResource-is_a-IngestibleResource,,memory-plane,memory-ingestion,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""FileResource-is_a-IngestibleResource""]","FileResource 是以路径、版本、摘要和权限为区分特征的 IngestibleResource。 / A FileResource is an IngestibleResource distinguished by path, version, digest, and permissions.",codex-memory-ontology-reviewer,accepted
FileResourceReference,info-plane,info-storage-sources,resource_type,keep_reparent,information,FileResourceReference-is_a-SourceReference,,info-plane,info-storage-sources,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""FileResourceReference-is_a-SourceReference""]","任一文件资源引用都是以路径、URI、版本、摘要或片段定位文件的 SourceReference。 / Every FileResourceReference is a SourceReference locating a file by path, URI, version, digest, or span.",codex-info-ontology-reviewer,accepted
FileSystem,memory-plane,memory-ingestion,resource_type,keep_root,entity,,,memory-plane,memory-ingestion,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],FileSystem 是承载文件与目录的运行环境表面，通过 hosts/reads 连接资源，整体不必然是被摄入内容。 / A FileSystem is a runtime surface hosting files and directories and connects through hosts and reads; the whole surface is not necessarily ingested content.,codex-memory-ontology-reviewer,accepted
FilesystemPolicy,safety-plane,safety-sandbox-network,policy_type,keep_reparent,specification,FilesystemPolicy-is_a-IsolationSpecification,,safety-plane,safety-sandbox-network,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""FilesystemPolicy-is_a-IsolationSpecification""]",文件系统策略是按路径与读写执行操作约束隔离环境的 IsolationSpecification。 / FilesystemPolicy is an IsolationSpecification distinguished by path and read/write/execute constraints.,codex-safety-adapter-ontology-reviewer,accepted
FinalArtifact,runtime-plane,runtime-artifacts,resource_type,convert_to_controlled_value,,,,runtime-plane,runtime-artifacts,Artifact,,Artifact.status,,,migrate definition into reviewed target information,explain disposition in target field or Concept,convert legacy source IDs into direct reviewed source claims,[],"最终只表示产物已通过指定发布或审查门槛；这是版本状态而不是内容种类。 / Final indicates that an artifact passed a specified review or release gate; it is a version state, not a content kind.",codex-runtime-orchestration-ontology-reviewer,accepted
FIPAAdapter,adapter-plane,adapter-protocols,adapter_type,keep_reparent,capability,FIPAAdapter-is_a-ProtocolAdapter,,adapter-plane,adapter-protocols,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""FIPAAdapter-is_a-ProtocolAdapter""]","FIPA 适配器以 ACL communicative act、消息参数、交互协议和主体管理映射为区分特征。 / FIPAAdapter specializes ProtocolAdapter by ACL communicative-act, message-parameter, interaction-protocol, and agent-management mappings.",codex-safety-adapter-ontology-reviewer,accepted
FrameworkAdapter,adapter-plane,adapter-frameworks,adapter_type,keep_reparent,capability,FrameworkAdapter-is_a-Adapter,,adapter-plane,adapter-frameworks,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""FrameworkAdapter-is_a-Adapter""]","框架适配器是把框架原生主体、任务、工具、状态和轨迹映射到统一概念的 Adapter。 / FrameworkAdapter is an Adapter that maps framework-native actors, tasks, tools, state, and traces to canonical concepts.",codex-safety-adapter-ontology-reviewer,accepted
FrameworkHandoffMapping,adapter-plane,adapter-frameworks,relation_type,keep_reparent,specification,FrameworkHandoffMapping-is_a-FrameworkMapping,,adapter-plane,adapter-frameworks,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""FrameworkHandoffMapping-is_a-FrameworkMapping""]","该规范专门映射框架 handoff 的责任、权限、上下文和结果所有权，是 FrameworkMapping 的下位类。 / This specification maps responsibility, authority, context, and result ownership for framework handoffs and therefore specializes FrameworkMapping.",codex-safety-adapter-ontology-reviewer,accepted
FrameworkTraceMapping,adapter-plane,adapter-frameworks,relation_type,keep_reparent,specification,FrameworkTraceMapping-is_a-FrameworkMapping,,adapter-plane,adapter-frameworks,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""FrameworkTraceMapping-is_a-FrameworkMapping""]","该规范专门映射框架 run、trace、span、checkpoint 与 stream，是 FrameworkMapping 的下位类。 / This specification maps framework run, trace, span, checkpoint, and stream constructs and therefore specializes FrameworkMapping.",codex-safety-adapter-ontology-reviewer,accepted
FrontendViewAdapter,adapter-plane,adapter-schema-export,adapter_type,keep_reparent,capability,FrontendViewAdapter-is_a-SchemaAdapter,,adapter-plane,adapter-schema-export,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""FrontendViewAdapter-is_a-SchemaAdapter""]",前端视图适配器是把 canonical 投影为只读图谱视图模型的 SchemaAdapter，不创建 shadow node。 / FrontendViewAdapter is a SchemaAdapter projecting canonical data to a read-only graph ViewModel without creating shadow nodes.,codex-safety-adapter-ontology-reviewer,accepted
FunctionTool,tool-plane,tool-registry-definition,object_type,keep_reparent,entity,FunctionTool-is_a-Tool,,tool-plane,tool-registry-definition,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""FunctionTool-is_a-Tool""]",函数工具是以可调用函数和参数契约专业化的 Tool。 / A function tool is a Tool specialized by a callable function and argument contract.,codex-tool-feedback-ontology-reviewer,accepted
Gate,orchestration-plane,orchestration-routing-control,policy_type,retype,capability,Gate-is_a-ControlGate,,orchestration-plane,orchestration-routing-control,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""Gate-is_a-ControlGate""]","Gate 是根据条件允许、阻止、改向或升级工作的具体控制闸门能力。 / Gate is a ControlGate capability that allows, blocks, redirects, or escalates work based on conditions.",codex-runtime-orchestration-ontology-reviewer,accepted
GateCondition,orchestration-plane,orchestration-routing-control,policy_type,keep_reparent,specification,GateCondition-is_a-RoutingCondition,,orchestration-plane,orchestration-routing-control,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""GateCondition-is_a-RoutingCondition""]","闸门条件是以控制闸门许可、阻止或升级判定为区分用途的一种路由条件，不是 Gate 的子类。 / A GateCondition is a RoutingCondition used by a control gate to allow, block, or escalate; it is not a subtype of Gate.",codex-runtime-orchestration-ontology-reviewer,accepted
GateOutcome,orchestration-plane,orchestration-routing-control,event_type,retype,state,,,orchestration-plane,orchestration-routing-control,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"闸门结果是评估后产生的 allowed/blocked/redirected 等可观察状态，不是一种闸门。 / GateOutcome is the observable allowed, blocked, redirected, or escalated state produced by evaluation, not a kind of gate.",codex-runtime-orchestration-ontology-reviewer,accepted
GenerativeModel,runtime-plane,runtime-actors,actor_type,retype,entity,GenerativeModel-is_a-Model,,runtime-plane,runtime-actors,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""GenerativeModel-is_a-Model""]","生成模型是以产生文本、代码、结构化输出或调用参数为区分能力的一种模型。 / A generative model is a Model distinguished by generating text, code, structured output, or call arguments.",codex-runtime-orchestration-ontology-reviewer,accepted
Goal,orchestration-plane,orchestration-task-planning,resource_type,keep_reparent,specification,Goal-is_a-IntentionalEntity,,orchestration-plane,orchestration-task-planning,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""Goal-is_a-IntentionalEntity""]",Goal 是表达期望未来状态的意图性实体；它与 Objective 是一般目标与可度量目标的差异，不用伪造 Goal→Plan 的继承。 / Goal is an IntentionalEntity expressing a desired future state; it differs from Objective by abstraction and is not an inheritance parent of plans.,codex-runtime-orchestration-ontology-reviewer,accepted
GraphArtifact,runtime-plane,runtime-artifacts,resource_type,keep_reparent,information,GraphArtifact-is_a-Artifact,,runtime-plane,runtime-artifacts,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""GraphArtifact-is_a-Artifact""]","图谱产物是以节点、边和图结构为主要内容的一种 Artifact。 / A GraphArtifact is an Artifact distinguished by nodes, edges, and graph structure as its primary content.",codex-runtime-orchestration-ontology-reviewer,accepted
GraphEdge,memory-plane,memory-ingestion,resource_type,keep_reparent,information,GraphEdge-is_a-IngestibleResource,,memory-plane,memory-ingestion,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""GraphEdge-is_a-IngestibleResource""]","可按身份、方向与来源读取的 GraphEdge 是可摄入的细粒度 IngestibleResource。 / An identity-, direction-, and provenance-bearing GraphEdge is a fine-grained IngestibleResource.",codex-memory-ontology-reviewer,accepted
